scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 m,138_P209-8_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,138_P209-8_2025_peat_sites_1028,OBOG,0.9970432074031207,Open Bog,TrFEN,0.002956792596879282,Treed Fen,1
100 m,138_P209-8_2025_peat_sites_1028,OBOG,0.7818603585333064,Open Bog,TrFEN,0.2181396414666936,Treed Fen,1
1 km,138_P209-8_2025_peat_sites_1028,OBOG,0.3776182015903438,Open Bog,TrFEN,0.3458718651443519,Treed Fen,0.7234900667346957
1 m,139_P307-1_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,139_P307-1_2025_peat_sites_1028,TrBOG,0.6514398793954028,Treed Bog,TrFEN,0.34856012060459723,Treed Fen,1
100 m,139_P307-1_2025_peat_sites_1028,TrBOG,0.6587334040028016,Treed Bog,TrFEN,0.3412665959971985,Treed Fen,1
1 km,139_P307-1_2025_peat_sites_1028,TrFEN,0.5067296981682368,Treed Fen,TrBOG,0.3173620323846135,Treed Bog,0.8240917305528503
1 m,13_P246-1_2025_peat_sites_1028,ThSWA,0.9590775710646944,Thicket Swamp,WAT,0.04092242893530561,Clear Open Water,1
50 m,13_P246-1_2025_peat_sites_1028,ThSWA,0.5470687759007417,Thicket Swamp,WAT,0.3813823036455739,Clear Open Water,0.9284510795463156
100 m,13_P246-1_2025_peat_sites_1028,ThSWA,0.31368827417310097,Thicket Swamp,ConSWA,0.23652368298335436,Coniferous Swamp,0.5502119571564553
1 km,13_P246-1_2025_peat_sites_1028,OBOG,0.32827944297525,Open Bog,OFEN,0.25035470402340826,Open Fen,0.5786341469986582
1 m,140_P307-3_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,140_P307-3_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
100 m,140_P307-3_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
1 km,140_P307-3_2025_peat_sites_1028,TrFEN,0.9406731936881458,Treed Fen,TrBOG,0.041283986041497044,Treed Bog,0.9819571797296429
1 m,141_P307-4_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,141_P307-4_2025_peat_sites_1028,TrBOG,0.5933071303870457,Treed Bog,TrFEN,0.4066928696129543,Treed Fen,1
100 m,141_P307-4_2025_peat_sites_1028,TrFEN,0.501715045437807,Treed Fen,TrBOG,0.49828495456219307,Treed Bog,1
1 km,141_P307-4_2025_peat_sites_1028,TrFEN,0.8528414760092924,Treed Fen,TrBOG,0.11089551615331134,Treed Bog,0.9637369921626038
1 m,142_P133-1_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
50 m,142_P133-1_2025_peat_sites_1028,OFEN,0.5057686222858748,Open Fen,OBOG,0.4942313777141252,Open Bog,1
100 m,142_P133-1_2025_peat_sites_1028,OBOG,0.5815821582734124,Open Bog,OFEN,0.4143219732765859,Open Fen,0.9959041315499984
1 km,142_P133-1_2025_peat_sites_1028,OBOG,0.39344867595658156,Open Bog,OFEN,0.36408598083953514,Open Fen,0.7575346567961168
1 m,143_P133-3_2025_peat_sites_1028,ThSWA,1,Thicket Swamp,NA,NA,NA,NA
50 m,143_P133-3_2025_peat_sites_1028,ThSWA,0.4011365636179683,Thicket Swamp,ConSWA,0.3784080173226383,Coniferous Swamp,0.7795445809406065
100 m,143_P133-3_2025_peat_sites_1028,ConSWA,0.5713610864569786,Coniferous Swamp,WAT,0.25573699174090075,Clear Open Water,0.8270980781978794
1 km,143_P133-3_2025_peat_sites_1028,TrBOG,0.3376028237499237,Treed Bog,OBOG,0.2529719603589794,Open Bog,0.5905747841089031
1 m,144_P133-4_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
50 m,144_P133-4_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
100 m,144_P133-4_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
1 km,144_P133-4_2025_peat_sites_1028,OFEN,0.5590132649312805,Open Fen,OBOG,0.3979577949928063,Open Bog,0.9569710599240868
1 m,145_P133-8_2025_peat_sites_1028,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
50 m,145_P133-8_2025_peat_sites_1028,ConSWA,0.8578001386303712,Coniferous Swamp,TrBOG,0.14219986136962887,Treed Bog,1
100 m,145_P133-8_2025_peat_sites_1028,ConSWA,0.7197350649788695,Coniferous Swamp,TrBOG,0.21471014201091299,Treed Bog,0.9344452069897825
1 km,145_P133-8_2025_peat_sites_1028,TrBOG,0.3170358447247878,Treed Bog,ConSWA,0.29374404329225084,Coniferous Swamp,0.6107798880170386
1 m,146_P173-1_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,146_P173-1_2025_peat_sites_1028,TrBOG,0.8717299746628493,Treed Bog,ConTRE,0.12827002533715068,Coniferous Treed,1
100 m,146_P173-1_2025_peat_sites_1028,TrBOG,0.5517555479375218,Treed Bog,ConTRE,0.27687650177952866,Coniferous Treed,0.8286320497170505
1 km,146_P173-1_2025_peat_sites_1028,TrBOG,0.38769380319786795,Treed Bog,OBOG,0.2255098035585158,Open Bog,0.6132036067563837
1 m,147_P173-2_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,147_P173-2_2025_peat_sites_1028,TrBOG,0.8871522981347743,Treed Bog,OBOG,0.11284770186522575,Open Bog,1
100 m,147_P173-2_2025_peat_sites_1028,TrBOG,0.796482982573949,Treed Bog,OBOG,0.20351701742605094,Open Bog,1
1 km,147_P173-2_2025_peat_sites_1028,TrBOG,0.40249343099798357,Treed Bog,OBOG,0.22004982347619056,Open Bog,0.6225432544741741
1 m,148_P173-3_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,148_P173-3_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
100 m,148_P173-3_2025_peat_sites_1028,OBOG,0.9828615985013226,Open Bog,TrBOG,0.017138401498677354,Treed Bog,1
1 km,148_P173-3_2025_peat_sites_1028,ConSWA,0.23181817671350516,Coniferous Swamp,TrBOG,0.22315930929560712,Treed Bog,0.45497748600911225
1 m,149_P173-7_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,149_P173-7_2025_peat_sites_1028,TrBOG,0.7941572616299569,Treed Bog,TrFEN,0.20584273837004302,Treed Fen,1
100 m,149_P173-7_2025_peat_sites_1028,TrBOG,0.656045880942493,Treed Bog,TrFEN,0.21109074961898355,Treed Fen,0.8671366305614766
1 km,149_P173-7_2025_peat_sites_1028,ConTRE,0.24252831485719115,Coniferous Treed,ConSWA,0.20628755897920548,Coniferous Swamp,0.44881587383639665
1 m,151_Q624-6_2025_peat_sites_1028,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
50 m,151_Q624-6_2025_peat_sites_1028,TrFEN,0.5283175820597276,Treed Fen,ConSWA,0.4716824179402724,Coniferous Swamp,1
100 m,151_Q624-6_2025_peat_sites_1028,TrFEN,0.6478056137048056,Treed Fen,ConSWA,0.35219438629519445,Coniferous Swamp,1
1 km,151_Q624-6_2025_peat_sites_1028,TrFEN,0.7908395637041652,Treed Fen,TrBOG,0.12144818912646502,Treed Bog,0.9122877528306302
1 m,152_Q624-7_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,152_Q624-7_2025_peat_sites_1028,OBOG,0.5347323031800043,Open Bog,TrBOG,0.4652676968199957,Treed Bog,1
100 m,152_Q624-7_2025_peat_sites_1028,OBOG,0.4974620130620602,Open Bog,TrBOG,0.48783679319191153,Treed Bog,0.9852988062539718
